LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
62,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
63,Jul,1,09:42:16,calvisitor-10-105-160-95,com.apple.cts,43,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
64,Jul,1,09:42:23,calvisitor-10-105-160-95,kernel,0,,"['Apple', '<*>', 'nderboltNHIType2', ':', ':', 'waitForOk2Go2Sx', '-', 'intel_rp', '=', '<*>', 'dlla_reporting_supported', '=', '<*>']",00cedb4a,Apple <*> nderboltNHIType2 : : waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>
65,Jul,1,09:42:54,calvisitor-10-105-160-95,kernel,0,,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlAutoMode', 'Resuming', 'AWDL']",f49c32e3,IO80211AWDLPeerManager : : setAwdlAutoMode Resuming AWDL
66,Jul,1,09:43:22,calvisitor-10-105-160-95,mDNSResponder,91,,"['mDNS_RegisterInterface', ':', 'Frequent', 'transitions', 'for', 'interface', 'en0', '(FE80', ':', '<*>', ':', '<*>', ':', '<*>', ':', 'C6B3', ':', '01FF', ':', 'FECD', ':', '467F)']",aff5d441,<*> : Frequent transitions for interface <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
67,Jul,1,09:44:23,authorMacBook-Pro,kernel,0,,"['AppleCamIn', ':', ':', 'wakeEventHandlerThread']",c57b7585,AppleCamIn : : wakeEventHandlerThread
68,Jul,1,09:44:26,authorMacBook-Pro,kernel,0,,"['AirPort', ':', 'Link', 'Up', 'on', 'en0']",1f8f78e7,AirPort : Link Up on <*>
69,Jul,1,09:44:32,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,"['Thermal', 'pressure', 'state', ':', '<*>', 'Memory', 'pressure', 'state', ':', '<*>']",3c63ed9d,Thermal pressure state : <*> Memory pressure state : <*>
70,Jul,1,09:45:08,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621686.164365', ':', 'wl0', ':', 'setup_keepalive', ':', 'Local', 'port', ':', '<*>', ',', 'Remote', 'port', ':', '<*>']",9bce08e8,"ARPT : <*> : wl0 : setup_keepalive : Local port : <*> , Remote port : <*>"
71,Jul,1,09:45:46,authorMacBook-Pro,symptomsd,215,,"['__73-[NetworkAnalyticsEngine', 'observeValueForKeyPath', ':', 'ofObject', ':', 'change', ':', 'context', ':', ']_block_invoke', 'unexpected', 'switch', 'value', '<*>']",ed6369dc,__73-[NetworkAnalyticsEngine observeValueForKeyPath : ofObject : change : context : ]_block_invoke unexpected switch value <*>
72,Jul,1,09:45:52,calvisitor-10-105-160-95,networkd,195,,"['nw_nat64_post_new_ifstate', 'successfully', 'changed', 'NAT64', 'ifstate', 'from', '0x4', 'to', '0x8000000000000000']",82a3fe7d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> <*> 0x8000000000000000
73,Jul,1,09:59:26,calvisitor-10-105-160-95,kernel,0,,"['ARPT', ':', '621738.114066', ':', 'AirPort_Brcm43xx', ':', ':', 'platformWoWEnable', ':', 'WWEN[enable]']",e7756efa,ARPT : <*> : AirPort_Brcm43xx : : platformWoWEnable : <*>
74,Jul,1,10:08:20,calvisitor-10-105-160-95,Dock,307,,"['-[UABestAppSuggestionManager', 'notifyBestAppChanged', ':', 'type', ':', 'options', ':', 'bundleIdentifier', ':', 'activityType', ':', 'dynamicIdentifier', ':', 'when', ':', 'confidence', ':', 'deviceName', ':', 'deviceIdentifier', ':', 'deviceType', ':', ']', '(null)', 'UASuggestedActionType', '=', '<*>', '(null)/(null)', 'opts', '=', '(null)', 'when', '=', '<*>', '+0000', 'confidence', '=', '<*>', 'from', '=', '(null)/(null)', '(UABestAppSuggestionManager.m', '#319)']",c4f10e9e,-[UABestAppSuggestionManager notifyBestAppChanged : type : options : bundleIdentifier : activityType : dynamicIdentifier : when : confidence : deviceName : deviceIdentifier : deviceType : ] (null) UASuggestedActionType = <*> (null)/(null) opts = (null) when = <*> +0000 confidence = <*> from = (null)/(null) (UABestAppSuggestionManager.m #319)
75,Jul,1,10:08:20,calvisitor-10-105-160-95,kernel,0,,"['en0', ':', 'channel', 'changed', 'to', '<*>']",187f4d4c,en0 : channel changed to <*>
76,Jul,1,10:08:20,authorMacBook-Pro,kernel,0,,"['ARPT', ':', '621799.252673', ':', 'AQM', 'agg', 'results', '0x8001', 'len', 'hi/lo', ':', '0x0', '0x26', 'BAbitmap(0-3)', '<*>', '<*>', '<*>', '<*>']",8d03ae48,ARPT : <*> : AQM agg results 0x8001 len hi/lo : 0x0 <*> BAbitmap(0-3) <*> <*> <*> <*>
77,Jul,1,10:08:21,authorMacBook-Pro,corecaptured,31313,,"['CCFile', ':', ':', 'captureLog', 'Received', 'Capture', 'notice', 'id', ':', '1498928900.759059', ',', 'reason', '=', 'AuthFail', ':', 'sts', ':', '5_rsn', ':', '<*>']",77f8cc9b,"CCFile : : captureLog Received Capture notice id : <*> , reason = AuthFail : sts : 5_rsn : <*>"
78,Jul,1,10:08:29,calvisitor-10-105-160-95,com.apple.cts,258,,"['<*>', ':', 'scheduler_evaluate_activity', 'told', 'me', 'to', 'run', 'this', 'job', ';', 'however', ',', 'but', 'the', 'start', 'time', ""isn't"", 'for', '<*>', 'seconds.', 'Ignoring.']",702a7007,"<*> : scheduler_evaluate_activity told me to run this job ; however , but the start time isn't for <*> seconds. Ignoring."
79,Jul,1,10:08:49,calvisitor-10-105-160-95,kernel,0,,"['IO80211AWDLPeerManager', ':', ':', 'setAwdlOperatingMode', 'Setting', 'the', 'AWDL', 'operation', 'mode', 'from', 'AUTO', 'to', 'SUSPENDED']",1f86294d,IO80211AWDLPeerManager : : setAwdlOperatingMode Setting the AWDL operation mode from <*> <*> SUSPENDED
80,Jul,1,10:08:55,calvisitor-10-105-160-95,AddressBookSourceSync,31318,,"['Unrecognized', 'attribute', 'value', ':', 't', ':', 'AbchPersonItemType']",8b19a29f,Unrecognized attribute value : t : AbchPersonItemType
81,Jul,1,10:09:58,calvisitor-10-105-160-95,kernel,0,,"['AppleCamIn', ':', ':', 'systemWakeCall', '-', 'messageType', '=', '0xE0000340']",d9f8fb9a,AppleCamIn : : systemWakeCall - messageType = <*>
82,Jul,1,10:10:24,calvisitor-10-105-160-95,kernel,0,,"['Sandbox', ':', '<*>', '(31328)', 'deny(1)', 'network-outbound', '/private/var/run/mDNSResponder']",b6cb511a,Sandbox : <*> <*> deny(1) <*> <*>
83,Jul,1,10:10:27,calvisitor-10-105-160-95,kernel,0,,"['Sandbox', ':', '<*>', '(31328)', 'deny(1)', 'network-outbound', '/private/var/run/mDNSResponder']",b6cb511a,Sandbox : <*> <*> deny(1) <*> <*>
