LineId,Time,Program,Content,EventId,EventTemplate
19,10.30 16:49:09,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
20,10.30 16:49:09,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
21,10.30 16:49:09,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
22,10.30 16:49:09,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
23,10.30 16:49:09,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
24,10.30 16:49:09,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
25,10.30 16:49:09,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
26,10.30 16:49:09,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
27,10.30 16:49:09,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
28,10.30 16:49:09,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
29,10.30 16:49:09,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
30,10.30 16:49:10,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
31,10.30 16:49:10,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
32,10.30 16:49:10,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
33,10.30 16:49:10,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
34,10.30 16:49:10,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
35,10.30 16:49:10,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
36,10.30 16:49:10,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
37,10.30 16:49:10,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
38,10.30 16:49:10,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
39,10.30 16:49:10,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
40,10.30 16:49:10,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
41,10.30 16:49:10,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
42,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
43,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
44,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
45,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
46,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
47,10.30 16:49:11,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
48,10.30 16:49:11,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
49,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
50,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
51,10.30 16:49:11,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
52,10.30 16:49:12,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
53,10.30 16:49:12,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
54,10.30 16:49:12,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
55,10.30 16:49:12,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
56,10.30 16:49:12,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
57,10.30 16:49:12,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
58,10.30 16:49:12,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
59,10.30 16:49:12,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
60,10.30 16:49:12,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
61,10.30 16:49:15,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
62,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
63,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
64,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
65,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
66,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
67,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
68,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
69,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
70,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
71,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
72,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
73,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
74,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
75,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
76,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(564', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
77,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(207', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
78,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
79,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
80,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
81,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
82,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
83,10.30 16:49:28,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
84,10.30 16:49:28,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
85,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
86,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
87,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
88,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
89,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
90,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
91,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
92,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
93,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
94,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
95,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
96,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
97,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
98,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
99,10.30 16:49:29,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
100,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
101,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
102,10.30 16:49:29,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
103,10.30 16:49:30,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
104,10.30 16:49:30,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
105,10.30 16:49:30,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
106,10.30 16:49:30,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
107,10.30 16:49:30,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
108,10.30 16:49:30,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
109,10.30 16:49:31,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
110,10.30 16:49:31,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
111,10.30 16:49:31,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
112,10.30 16:49:31,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
113,10.30 16:49:31,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
114,10.30 16:49:31,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
115,10.30 16:49:31,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
116,10.30 16:49:32,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
117,10.30 16:49:32,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
118,10.30 16:49:33,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
119,10.30 16:49:35,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
120,10.30 16:49:48,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
121,10.30 16:49:52,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
122,10.30 16:49:52,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
123,10.30 16:49:52,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
124,10.30 16:49:52,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
125,10.30 16:49:52,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
126,10.30 16:49:53,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
127,10.30 16:49:53,chrome.exe,"['<*>', 'open', 'through', 'proxy', '<*>', 'HTTPS']",56ab45ba,<*> open through proxy <*> HTTPS
128,10.30 16:49:53,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
129,10.30 16:49:53,chrome.exe,"['<*>', 'close', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'sent', ',', '<*>', 'bytes', '(', '<*>', '<*>', ')', 'received', ',', 'lifetime', '<*>']",c904ebb5,"<*> close , <*> bytes sent , <*> bytes received , lifetime <*>"
