EventId,EventTemplate
2712fdae,Container complete event for unknown container id container_1445144423722_0020_01_000012
0a1bddef,Done acknowledgement from attempt_1445144423722_0020_m_000003_0
5889b0d6,<*> TaskAttempt Transitioned from RUNNING to <*>
da04743d,KILLING <*>
e8961bc9,attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED
04500f53,Task succeeded with attempt attempt_1445144423722_0020_m_000003_0
2e4c310e,task_1445144423722_0020_m_000003 Task Transitioned from RUNNING to SUCCEEDED
429dbd7b,Num completed Tasks : <*>
ec6b84b4,Reduce slow start threshold reached. Scheduling reduces.
8f228cdb,All maps assigned. Ramping up all remaining reduces : <*>
e051b4cf,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000
71478d85,We launched <*> speculations. Sleeping <*> milliseconds.
a5763810,Scheduling a redundant attempt for task task_1445144423722_0020_m_000000
4d487376,Diagnostics report from attempt_1445144423722_0020_m_000003_0 : Container killed by the ApplicationMaster.
ec602e93,Address change detected. Old : msra-sa-41/ <*> New : msra-sa-41 : <*>
56587bea,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for <*> seconds. Will retry shortly ...
294c1d17,"Slow ReadProcessor read fields took 65020ms (threshold = 30000ms) ; ack : seqno : -2 status : SUCCESS status : ERROR downstreamAckTimeNanos : <*> , targets : [ <*> , <*> ]"
49e2ff84,DFSOutputStream ResponseProcessor exception for block BP-1347369012- <*> -1444972147527 : blk_1073743512_2731
729ce0b3,"Error Recovery for block BP-1347369012- <*> -1444972147527 : blk_1073743512_2731 in pipeline <*> , <*> : bad datanode <*>"
2ef07439,DataStreamer Exception
b4ff2357,ERROR IN CONTACTING RM.
268abe28,"Retrying connect to server : msra-sa-41 : 8030. Already tried <*> time(s) ; retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries = <*> , sleepTime = <*> MILLISECONDS)"
419d8577,Task : <*> - exited : java.net.NoRouteToHostException : No Route to Host from MININT-FNANLI5/ <*> to msra-sa-41 : <*> failed on socket timeout exception : java.net.NoRouteToHostException : No route to host : no further information ; For more details see : http : //wiki.apache.org/hadoop/NoRouteToHost
d8a1f895,Diagnostics report from <*> : Error : java.net.NoRouteToHostException : No Route to Host from MININT-FNANLI5/ <*> to msra-sa-41 : <*> failed on socket timeout exception : java.net.NoRouteToHostException : No route to host : no further information ; For more details see : http : //wiki.apache.org/hadoop/NoRouteToHost
11659eff,<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP
fb4ab5cb,Task cleanup failed for attempt <*>
f01f0f50,<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED
4efd0d94,Error writing History Event : org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d
2c89a4a9,"Thread Thread[eventHandlingThread , <*> , main] threw an Exception."
2b7f7e1e,<*> failures on node MININT-FNANLI5.fareast.corp.microsoft.com
410c36f9,Added <*> to list of failed maps
